Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Height (m),BMI
Pedro Manuel Tavares de Almeida,M,22.0,176.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",Non-Medal,1.76,25.18
Pedro Manuel Tavares de Almeida,M,22.0,176.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",Non-Medal,1.76,25.18
Ives Gonzlez Alonso,M,35.0,191.0,102.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Non-Medal,1.91,27.96
Tabea Lara Alt,F,16.0,158.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Non-Medal,1.58,20.03
Tabea Lara Alt,F,16.0,158.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,Non-Medal,1.58,20.03
Tabea Lara Alt,F,16.0,158.0,50.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,Non-Medal,1.58,20.03
Maria Suelen Altheman,F,27.0,175.0,110.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Heavyweight,Non-Medal,1.75,35.92
Anita Alvarez,F,19.0,170.0,52.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,Non-Medal,1.7,17.99
Higor Silva Alves,M,22.0,183.0,64.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,Non-Medal,1.83,19.11
Marielle Amant,F,26.0,190.0,84.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Non-Medal,1.9,23.27
Audrey Amiel,F,29.0,164.0,65.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Non-Medal,1.64,24.17
"Eduarda Idalina ""Duda"" Amorim-Taleska",F,29.0,186.0,84.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Non-Medal,1.86,24.28
Hassan Amzile,M,28.0,183.0,64.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,Non-Medal,1.83,19.11
Ana Paula Rodrigues-Belo,F,28.0,172.0,67.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Non-Medal,1.72,22.65
Phara Anacharsis,F,32.0,177.0,58.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,Non-Medal,1.77,18.51
Phara Anacharsis,F,32.0,177.0,58.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Non-Medal,1.77,18.51
milie Andol,F,28.0,170.0,97.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Heavyweight,Medal,1.7,33.56
David Emil Andersen,M,36.0,211.0,102.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Non-Medal,2.11,22.91
Haley Danita Anderson,F,24.0,178.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 10 kilometres Open Water,Non-Medal,1.78,21.46
"Matthew John ""Matt"" Anderson",M,29.0,202.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Medal,2.02,24.51
Rafael Oliveira Andrade,M,30.0,168.0,58.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Men's Individual,Non-Medal,1.68,20.55
Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,Non-Medal,1.51,20.17
Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Non-Medal,1.51,20.17
Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,Non-Medal,1.51,20.17
Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,Non-Medal,1.51,20.17
Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,Non-Medal,1.51,20.17
Mathilde Andraud,F,27.0,173.0,70.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,Non-Medal,1.73,23.39
Thiago do Rosario Andr,M,20.0,163.0,52.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",Non-Medal,1.63,19.57
Andressa Cavalari Machry,F,21.0,160.0,60.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Non-Medal,1.6,23.44
Andressa Alves da Silva,F,23.0,168.0,56.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Non-Medal,1.68,19.84
"Robert Adrian ""Robby"" Andrews",M,25.0,178.0,66.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",Non-Medal,1.78,20.83
Matthieu Androdias,M,26.0,194.0,94.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Non-Medal,1.94,24.98
Ashlee Ankudinoff,F,25.0,174.0,67.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Non-Medal,1.74,22.13
Mame-Ibra Anne,M,26.0,184.0,80.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Non-Medal,1.84,23.63
Vincent Anstett,M,34.0,178.0,78.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",Non-Medal,1.78,24.62
Carmelo Kyan Anthony,M,32.0,203.0,109.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Medal,2.03,26.45
Franz Anton,M,26.0,173.0,70.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Non-Medal,1.73,23.39
Vinicius Biagi Antonelli,M,26.0,183.0,82.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Non-Medal,1.83,24.49
Mrcio Appel,M,37.0,172.0,73.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Non-Medal,1.72,24.68
Mrcio Appel,M,37.0,172.0,73.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Non-Medal,1.72,24.68
Zoe Arancini,F,25.0,170.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Non-Medal,1.7,24.22
Adriana dos Santos Arajo,F,34.0,167.0,60.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Lightweight,Non-Medal,1.67,21.51
Amanda Carolina Gomes de Arajo,F,26.0,162.0,54.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Non-Medal,1.62,20.58
Luiz Alberto Cardoso de Arajo,M,29.0,188.0,88.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Non-Medal,1.88,24.9
Geisa Rafaela Arcanjo,F,24.0,180.0,92.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Non-Medal,1.8,28.4
Brbara Elisabeth Arenhart,F,29.0,182.0,73.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Non-Medal,1.82,22.04
